title,author,genre

Pride and Prejudice,Jane Austen,classics

To Kill a Mockingbird,Harper Lee,classics

The Great Gatsby,F. Scott Fitzgerald,classics

Jane Eyre,Charlotte Brontë,classics

1984,George Orwell,classics

Wuthering Heights,Emily Brontë,classics

Animal Farm,George Orwell,classics

The Catcher in the Rye,J.D. Salinger,classics

Little Women,Louisa May Alcott,classics

Frankenstein,Mary Wollstonecraft Shelley,classics

Lord of the Flies,William Golding,classics

Romeo and Juliet,William Shakespeare,classics

Of Mice and Men,John Steinbeck,classics

The Picture of Dorian Gray,Oscar Wilde,classics

Sense and Sensibility,Jane Austen,classics

Emma,Jane Austen,classics

Fahrenheit 451,Ray Bradbury,classics

The Adventures of Huckleberry Finn,Mark Twain,classics

A Tale of Two Cities,Charles Dickens,classics

Dracula,Bram Stoker,classics

Great Expectations,Charles Dickens,classics

The Scarlet Letter,Nathaniel Hawthorne,classics

Persuasion,Jane Austen,classics

The Odyssey,Homer,classics

The Count of Monte Cristo,Alexandre Dumas,classics

Brave New World,Aldous Huxley,classics

Anna Karenina,Leo Tolstoy,classics

Hamlet,William Shakespeare,classics

"The Hobbit, or There and Back Again",J.R.R. Tolkien,classics

A Christmas Carol,Charles Dickens,classics

Macbeth,William Shakespeare,classics

The Secret Garden,Frances Hodgson Burnett,classics

Crime and Punishment,Fyodor Dostoyevsky,classics

Les Misérables,Victor Hugo,classics

The Old Man and the Sea,Ernest Hemingway,classics

Northanger Abbey,Jane Austen,classics

The Adventures of Tom Sawyer,Mark Twain,classics

The Diary of a Young Girl,Anne Frank,classics

The Grapes of Wrath,John Steinbeck,classics

The Little Prince,Antoine de Saint-Exupéry,classics

Gone with the Wind,Margaret Mitchell,classics

Anne of Green Gables,L.M. Montgomery,classics

Mansfield Park,Jane Austen,classics

The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,classics

Slaughterhouse-Five,Kurt Vonnegut Jr.,classics

A Midsummer Night's Dream,William Shakespeare,classics

Lolita,Vladimir Nabokov,classics

"Moby-Dick or, the Whale",Herman Melville,classics

Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,classics

The Iliad,Homer,classics

Harry Potter and the Sorcerer's Stone,J.K. Rowling,fantasy

"The Hobbit, or There and Back Again",J.R.R. Tolkien,fantasy

Harry Potter and the Chamber of Secrets,J.K. Rowling,fantasy

Harry Potter and the Prisoner of Azkaban,J.K. Rowling,fantasy

Harry Potter and the Goblet of Fire,J.K. Rowling,fantasy

Harry Potter and the Deathly Hallows,J.K. Rowling,fantasy

Harry Potter and the Order of the Phoenix,J.K. Rowling,fantasy

Harry Potter and the Half-Blood Prince,J.K. Rowling,fantasy

A Game of Thrones,George R.R. Martin,fantasy

The Fellowship of the Ring,J.R.R. Tolkien,fantasy

A Clash of Kings,George R.R. Martin,fantasy

The Two Towers,J.R.R. Tolkien,fantasy

The Name of the Wind,Patrick Rothfuss,fantasy

The Return of the King,J.R.R. Tolkien,fantasy

A Storm of Swords,George R.R. Martin,fantasy

A Feast for Crows,George R.R. Martin,fantasy

"The Lion, the Witch and the Wardrobe",C.S. Lewis,fantasy

The Golden Compass,Philip Pullman,fantasy

Eragon,Christopher Paolini,fantasy

A Dance with Dragons,George R.R. Martin,fantasy

The Final Empire,Brandon Sanderson,fantasy

American Gods,Neil Gaiman,fantasy

The Lightning Thief,Rick Riordan,fantasy

City of Bones,Cassandra Clare,fantasy

Twilight,Stephenie Meyer,fantasy

Stardust,Neil Gaiman,fantasy

The Eye of the World,Robert Jordan,fantasy

Neverwhere,Neil Gaiman,fantasy

"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,fantasy

Throne of Glass,Sarah J. Maas,fantasy

The Wise Man's Fear,Patrick Rothfuss,fantasy

The Night Circus,Erin Morgenstern,fantasy

The Lord of the Rings,J.R.R. Tolkien,fantasy

The Ocean at the End of the Lane,Neil Gaiman,fantasy

Graceling,Kristin Cashore,fantasy

Six of Crows,Leigh Bardugo,fantasy

The Princess Bride,William Goldman,fantasy

The Color of Magic,Terry Pratchett,fantasy

Harry Potter and the Cursed Child: Parts One and Two,John Tiffany,fantasy

The Lies of Locke Lamora,Scott Lynch,fantasy

The Subtle Knife,Philip Pullman,fantasy

A Darker Shade of Magic,V.E. Schwab,fantasy

Assassin's Apprentice,Robin Hobb,fantasy

The Way of Kings,Brandon Sanderson,fantasy

Shadow and Bone,Leigh Bardugo,fantasy

A Court of Thorns and Roses,Sarah J. Maas,fantasy

The Well of Ascension,Brandon Sanderson,fantasy

The Sea of Monsters,Rick Riordan,fantasy

The Silmarillion,J.R.R. Tolkien,fantasy

Uprooted,Naomi Novik,fantasy

The Shining,Stephen King,horror

It,Stephen King,horror

Dracula,Bram Stoker,horror

Carrie,Stephen King,horror

Pet Sematary,Stephen King,horror

Frankenstein,Mary Wollstonecraft Shelley,horror

'Salem's Lot,Stephen King,horror

The Stand,Stephen King,horror

Misery,Stephen King,horror

The Haunting of Hill House,Shirley Jackson,horror

World War Z: An Oral History of the Zombie War,Max Brooks,horror

Interview with the Vampire,Anne Rice,horror

Doctor Sleep,Stephen King,horror

Cujo,Stephen King,horror

NOS4A2,Joe Hill,horror

House of Leaves,Mark Z. Danielewski,horror

Heart-Shaped Box,Joe Hill,horror

Bird Box,Josh Malerman,horror

Christine,Stephen King,horror

Needful Things,Stephen King,horror

The Exorcist,William Peter Blatty,horror

We Have Always Lived in the Castle,Shirley Jackson,horror

The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,horror

Let the Right One In,John Ajvide Lindqvist,horror

Night Shift,Stephen King,horror

Cell,Stephen King,horror

Horns,Joe Hill,horror

Coraline,Neil Gaiman,horror

The Dead Zone,Stephen King,horror

Firestarter,Stephen King,horror

The Girl With All the Gifts,M.R. Carey,horror

Bag of Bones,Stephen King,horror

The Silence of the Lambs,Thomas  Harris,horror

Rosemary's Baby,Ira Levin,horror

The Tommyknockers,Stephen King,horror

Thinner,Richard Bachman,horror

Under the Dome,Stephen King,horror

The Gunslinger,Stephen King,horror

The Dark Half,Stephen King,horror

The Passage,Justin Cronin,horror

Skeleton Crew,Stephen King,horror

Desperation,Stephen King,horror

Dreamcatcher,Stephen King,horror

Insomnia,Stephen King,horror

The Outsider,Stephen King,horror

Something Wicked This Way Comes,Ray Bradbury,horror

The Vampire Lestat,Anne Rice,horror

Gerald's Game,Stephen King,horror

The Strain,Guillermo del Toro,horror

The Picture of Dorian Gray,Oscar Wilde,horror

Pride and Prejudice,Jane Austen,romance

Twilight,Stephenie Meyer,romance

The Fault in Our Stars,John Green,romance

Fifty Shades of Grey,E.L. James,romance

New Moon,Stephenie Meyer,romance

Outlander,Diana Gabaldon,romance

Eclipse,Stephenie Meyer,romance

Breaking Dawn,Stephenie Meyer,romance

Me Before You,Jojo Moyes,romance

The Notebook,Nicholas Sparks,romance

Eleanor & Park,Rainbow Rowell,romance

Jane Eyre,Charlotte Brontë,romance

Fifty Shades Darker,E.L. James,romance

The Selection,Kiera Cass,romance

Fifty Shades Freed,E.L. James,romance

Beautiful Disaster,Jamie McGuire,romance

The Kiss Quotient,Helen Hoang,romance

The Time Traveler's Wife,Audrey Niffenegger,romance

Anna and the French Kiss,Stephanie Perkins,romance

Fangirl,Rainbow Rowell,romance

Romeo and Juliet,William Shakespeare,romance

A Walk to Remember,Nicholas Sparks,romance

To All the Boys I've Loved Before,Jenny Han,romance

Wuthering Heights,Emily Brontë,romance

The Hating Game,Sally  Thorne,romance

Sense and Sensibility,Jane Austen,romance

A Court of Thorns and Roses,Sarah J. Maas,romance

"Red, White & Royal Blue",Casey McQuiston,romance

The Elite,Kiera Cass,romance

Emma,Jane Austen,romance

Bared to You,Sylvia Day,romance

Divergent,Veronica Roth,romance

City of Bones,Cassandra Clare,romance

Persuasion,Jane Austen,romance

Dark Lover,J.R. Ward,romance

The Hunger Games,Suzanne Collins,romance

The One,Kiera Cass,romance

The Night Circus,Erin Morgenstern,romance

Wallbanger,Alice Clayton,romance

Easy,Tammara Webber,romance

If I Stay,Gayle Forman,romance

Dear John,Nicholas Sparks,romance

Dragonfly in Amber,Diana Gabaldon,romance

The Rosie Project,Graeme Simsion,romance

Hopeless,Colleen Hoover,romance

Matched,Ally Condie,romance

A Court of Mist and Fury,Sarah J. Maas,romance

Perfect Chemistry,Simone Elkeles,romance

Simon vs. the Homo Sapiens Agenda,Becky Albertalli,romance

The Princess Bride,William Goldman,romance

To Kill a Mockingbird,Harper Lee,fiction

1984,George Orwell,fiction

The Great Gatsby,F. Scott Fitzgerald,fiction

Harry Potter and the Sorcerer's Stone,J.K. Rowling,fiction

Animal Farm,George Orwell,fiction

The Catcher in the Rye,J.D. Salinger,fiction

The Hunger Games,Suzanne Collins,fiction

The Da Vinci Code,Dan Brown,fiction

The Handmaid's Tale,Margaret Atwood,fiction

The Kite Runner,Khaled Hosseini,fiction

Lord of the Flies,William Golding,fiction

Harry Potter and the Chamber of Secrets,J.K. Rowling,fiction

Pride and Prejudice,Jane Austen,fiction

Harry Potter and the Prisoner of Azkaban,J.K. Rowling,fiction

